trial,field,is_template_trial,n_rows,n_populated,n_NA,n_flagged,match_rate_vs_template,status
10013,Cimac.id,False,196,0,196,196,,ALL_NA
10013,Collection_Event,False,196,196,0,0,,POPULATED_FROM_SOURCE
10013,Collection_Event_alt,False,196,0,196,196,,ALL_NA
10013,age,False,196,196,0,0,,POPULATED_FROM_SOURCE
10013,arm,False,196,196,0,0,,POPULATED_FROM_SOURCE
10013,bor_bin,False,196,0,196,196,,ALL_NA
10013,clinical_benefit,False,196,196,0,0,,POPULATED_FROM_SOURCE
10013,clinical_benefit.binary,False,196,0,196,196,,ALL_NA
10013,os_stat,False,196,0,196,196,,ALL_NA
10013,os_time,False,196,0,196,196,,ALL_NA
10013,pfs_bin,False,196,0,196,196,,ALL_NA
10013,pfs_stat,False,196,0,196,196,,ALL_NA
10013,pfs_time,False,196,0,196,196,,ALL_NA
10013,phase,False,196,0,196,196,,ALL_NA
10013,race,False,196,196,0,0,,POPULATED_FROM_SOURCE
10013,sex,False,196,196,0,0,,POPULATED_FROM_SOURCE
10013,treatment,False,196,196,0,0,,POPULATED_FROM_SOURCE
10026,Cimac.id,True,207,207,0,0,,POPULATED_FROM_SOURCE
10026,Collection_Event,True,207,207,0,0,,POPULATED_FROM_SOURCE
10026,Collection_Event_alt,True,207,207,0,0,1.0,OK
10026,age,True,207,207,0,0,1.0,OK
10026,arm,True,207,207,0,0,1.0,OK
10026,bor_bin,True,207,196,11,11,0.8317757009345794,MOSTLY_OK
10026,clinical_benefit,True,207,198,9,9,1.0,OK
10026,clinical_benefit.binary,True,207,196,11,11,0.7476635514018691,PARTIAL
10026,os_stat,True,207,198,9,9,1.0,OK
10026,os_time,True,207,198,9,9,1.0,OK
10026,pfs_bin,True,207,196,11,11,1.0,OK
10026,pfs_stat,True,207,198,9,9,1.0,OK
10026,pfs_time,True,207,198,9,9,1.0,OK
10026,phase,True,207,0,207,207,1.0,OK
10026,race,True,207,207,0,0,1.0,OK
10026,sex,True,207,207,0,0,1.0,OK
10026,treatment,True,207,207,0,0,0.9672897196261684,OK
10104,Cimac.id,True,213,213,0,0,,POPULATED_FROM_SOURCE
10104,Collection_Event,True,213,213,0,0,,POPULATED_FROM_SOURCE
10104,Collection_Event_alt,True,213,213,0,0,1.0,OK
10104,age,True,213,213,0,0,1.0,OK
10104,arm,True,213,213,0,0,1.0,OK
10104,bor_bin,True,213,205,8,8,0.9671361502347418,OK
10104,clinical_benefit,True,213,205,8,8,0.9577464788732394,OK
10104,clinical_benefit.binary,True,213,205,8,8,0.92018779342723,MOSTLY_OK
10104,os_stat,True,213,212,1,1,0.92018779342723,MOSTLY_OK
10104,os_time,True,213,212,1,1,0.812206572769953,MOSTLY_OK
10104,pfs_bin,True,213,209,4,4,0.9671361502347418,OK
10104,pfs_stat,True,213,212,1,1,1.0,OK
10104,pfs_time,True,213,212,1,1,0.9342723004694836,MOSTLY_OK
10104,phase,True,213,0,213,213,1.0,OK
10104,race,True,213,213,0,0,1.0,OK
10104,sex,True,213,213,0,0,1.0,OK
10104,treatment,True,213,213,0,0,1.0,OK
14C0059G,Cimac.id,False,22,0,22,22,,ALL_NA
14C0059G,Collection_Event,False,22,22,0,0,,POPULATED_FROM_SOURCE
14C0059G,Collection_Event_alt,False,22,0,22,22,,ALL_NA
14C0059G,age,False,22,0,22,22,,ALL_NA
14C0059G,arm,False,22,0,22,22,,ALL_NA
14C0059G,bor_bin,False,22,14,8,8,,POPULATED_FROM_SOURCE
14C0059G,clinical_benefit,False,22,22,0,0,,POPULATED_FROM_SOURCE
14C0059G,clinical_benefit.binary,False,22,22,0,0,,POPULATED_FROM_SOURCE
14C0059G,os_stat,False,22,22,0,0,,POPULATED_FROM_SOURCE
14C0059G,os_time,False,22,7,15,15,,MOSTLY_FLAGGED
14C0059G,pfs_bin,False,22,14,8,8,,POPULATED_FROM_SOURCE
14C0059G,pfs_stat,False,22,22,0,0,,POPULATED_FROM_SOURCE
14C0059G,pfs_time,False,22,14,8,8,,POPULATED_FROM_SOURCE
14C0059G,phase,False,22,0,22,22,,ALL_NA
14C0059G,race,False,22,18,4,4,,POPULATED_FROM_SOURCE
14C0059G,sex,False,22,22,0,0,,POPULATED_FROM_SOURCE
14C0059G,treatment,False,22,22,0,0,,POPULATED_FROM_SOURCE
ABTC1603,Cimac.id,True,145,145,0,0,,POPULATED_FROM_SOURCE
ABTC1603,Collection_Event,True,145,145,0,0,,POPULATED_FROM_SOURCE
ABTC1603,Collection_Event_alt,True,145,145,0,0,1.0,OK
ABTC1603,age,True,145,145,0,0,1.0,OK
ABTC1603,arm,True,145,145,0,0,1.0,OK
ABTC1603,bor_bin,True,145,0,145,145,1.0,OK
ABTC1603,clinical_benefit,True,145,145,0,0,1.0,OK
ABTC1603,clinical_benefit.binary,True,145,145,0,0,1.0,OK
ABTC1603,os_stat,True,145,145,0,0,1.0,OK
ABTC1603,os_time,True,145,145,0,0,1.0,OK
ABTC1603,pfs_bin,True,145,142,3,3,0.9797297297297296,OK
ABTC1603,pfs_stat,True,145,145,0,0,0.8986486486486487,MOSTLY_OK
ABTC1603,pfs_time,True,145,145,0,0,1.0,OK
ABTC1603,phase,True,145,145,0,0,1.0,OK
ABTC1603,race,True,145,145,0,0,1.0,OK
ABTC1603,sex,True,145,145,0,0,1.0,OK
ABTC1603,treatment,True,145,145,0,0,0.9797297297297296,OK
CIMAC-10021,Cimac.id,True,154,154,0,0,,POPULATED_FROM_SOURCE
CIMAC-10021,Collection_Event,True,154,154,0,0,,POPULATED_FROM_SOURCE
CIMAC-10021,Collection_Event_alt,True,154,154,0,0,1.0,OK
CIMAC-10021,age,True,154,154,0,0,1.0,OK
CIMAC-10021,arm,True,154,154,0,0,1.0,OK
CIMAC-10021,bor_bin,True,154,154,0,0,1.0,OK
CIMAC-10021,clinical_benefit,True,154,154,0,0,1.0,OK
CIMAC-10021,clinical_benefit.binary,True,154,154,0,0,1.0,OK
CIMAC-10021,os_stat,True,154,154,0,0,1.0,OK
CIMAC-10021,os_time,True,154,154,0,0,1.0,OK
CIMAC-10021,pfs_bin,True,154,153,1,1,1.0,OK
CIMAC-10021,pfs_stat,True,154,154,0,0,1.0,OK
CIMAC-10021,pfs_time,True,154,154,0,0,1.0,OK
